day,slot,category,ko,text,pron,vocab
1,1,인사,잘 지내? / 안녕!,What's up?,왓츠 업,what's up:왓츠 업:인사말|대답은 Not much(별일 없어)
1,2,인사,어떻게 지내?,How's it going?,하우즈 잇 고잉,going:고잉:되어가는|How are you보다 캐주얼
1,3,인사,별일 없어. 너는?,Not much. How about you?,낫 머치 하우 어바웃 유,not much:낫 머치:별일 없음;how about ~:하우 어바웃:~은 어때
2,1,리액션,좋아요. / 그렇게 해요.,Sounds good.,사운즈 굿,sound:사운드:~하게 들리다|제안 수락의 국민 표현
2,2,리액션,괜찮아요. / 신경 쓰지 마세요.,No worries.,노 워리즈,worry:워리:걱정|사과·감사 양쪽에 답으로 씀
2,3,리액션,저는 그거면 돼요.,That works for me.,댓 웍스 포 미,work:웍:효과가 있다·괜찮다|일정 조율 필수 표현
3,1,리액션,당연하지. / 물론이요.,For sure.,포 슈어,for sure:포 슈어:확실히|Sure보다 캐주얼한 맞장구
3,2,리액션,내 잘못이야. / 미안.,My bad.,마이 배드,my bad:마이 배드:내 실수|가벼운 사과 전용
3,3,리액션,어쩔 수 없지 뭐.,It is what it is.,잇 이즈 왓 잇 이즈,it is what it is:잇 이즈 왓 잇 이즈:상황 수용·체념의 관용구
4,1,대화,"그러니까 내 말은, 나쁘진 않다는 거야.","I mean, it's not bad.",아이 민 잇츠 낫 배드,I mean:아이 민:말을 고르거나 정정할 때 문두 필러
4,2,대화,무슨 말인지 알지?,You know what I mean?,유 노 왓 아이 민,you know:유 노:있잖아|동의 구하는 문말 표현
4,3,대화,그거 말 되네요.,That makes sense.,댓 메익스 센스,make sense:메익 센스:이치에 맞다
5,1,대화,알겠어. / 이해했어.,Got it.,갓 잇,got:갓:이해했다|OK보다 '접수 완료' 느낌
5,2,대화,내가 알아서 할게.,I'll figure it out.,아일 피겨 잇 아웃,figure out:피겨 아웃:해결하다·알아내다
5,3,대화,정해지면 알려줘.,Let me know.,렛 미 노,let me know:렛 미 노:알려줘|문자·이메일 마무리 단골
6,1,일상,지금 가는 중이야.,I'm on my way.,아임 온 마이 웨이,on my way:온 마이 웨이:가는 중|문자로 OMW로 줄여 씀
6,2,일상,조금 늦을 것 같아.,I'm running late.,아임 러닝 레잇,running late:러닝 레잇:늦어지고 있는
6,3,일상,천천히 와. / 서두르지 마.,Take your time.,테익 유어 타임,take one's time:테익 타임:서두르지 않다
7,1,일상,나도 할래. / 콜!,I'm down.,아임 다운,be down:비 다운:참여 의향 있다|I'm in과 같은 뜻
7,2,일상,나도 껴줘.,Count me in.,카운트 미 인,count in:카운트 인:포함시키다
7,3,일상,이번엔 빠질게.,I'll pass this time.,아일 패스 디스 타임,pass:패스:사양하다;this time:디스 타임:이번에는
8,1,약속,이번 주말에 시간 돼?,Are you free this weekend?,아 유 프리 디스 위켄드,free:프리:한가한;weekend:위켄드:주말
